0	0	0	
0	0	0	
0.941365	0	0	
1	0	0	
2	0	0	
2.45049	0	0	
3	0	0	
3.93606	0	0	
3.99692	0	0	
4	0	0	
4.04325	0	0	
4.07902	0	0	
4.09103	0	-2.21062e-06	
4.23783	-3.24535e-07	-1.37131e-05	
5	-1.07762e-05	-1.37131e-05	
6	-2.44894e-05	-1.37131e-05	
6.4768	-3.10278e-05	-1.37131e-05	
7	-3.82025e-05	-1.37131e-05	
8	-5.19156e-05	-1.37131e-05	
8.14894	-5.39581e-05	-1.37131e-05	
9	-6.56288e-05	-1.37131e-05	
10	-7.93419e-05	-1.37131e-05	
11	-9.3055e-05	-1.37131e-05	
12	-0.000106768	-1.37131e-05	
13	-0.000120481	-1.37131e-05	
13.2999	-0.000124594	-1.37131e-05	
14	-0.000134194	-1.37131e-05	
14.0376	-0.000134709	-1.37131e-05	
15	-0.000147908	-1.37131e-05	
15.0699	-0.000148866	-1.37131e-05	
15.076	-0.00014895	-1.37131e-05	
15.2352	-0.000151134	-1.37131e-05	
15.3559	-0.000152788	-1.37131e-05	
16	-0.000161621	-1.37131e-05	
16.8319	-0.000173028	-1.37131e-05	
17	-0.000175334	-1.37131e-05	
18	-0.000189047	-1.37131e-05	
18.0016	-0.000189069	-1.19876e-05	
18.4643	-0.000194615	-1.19876e-05	
19	-0.000201037	-1.19876e-05	
19.0457	-0.000201586	-1.19876e-05	
19.7744	-0.00021032	-1.19876e-05	
20	-0.000213025	-1.19876e-05	
21	-0.000225013	-1.19876e-05	
22	-0.000237	-1.19876e-05	
22.059	-0.000237708	-1.19876e-05	
22.0674	-0.000237808	-1.19876e-05	
22.0874	-0.000238047	-1.19876e-05	
22.3482	-0.000241174	-1.19876e-05	
22.8578	-0.000247284	-1.19876e-05	
23	-0.000248988	-1.19876e-05	
23.6538	-0.000256825	-1.19876e-05	
24	-0.000260975	-1.19876e-05	
24.2782	-0.00026431	-1.19876e-05	
24.6636	-0.000268931	-1.19876e-05	
25	-0.000272963	-1.19876e-05	
25.6084	-0.000280256	-1.19876e-05	
26	-0.000284951	-1.19876e-05	
26.101	-0.000286161	-1.19876e-05	
27	-0.000296938	-1.19876e-05	
